Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DC_Automation,Chrome 67.0.3396.99,,2018-07-23 16:09:22,2018-07-23 16:11:44,2m - 21.463s,PASSED
,,,,,,
Test Cases/recorded_test,Chrome 67.0.3396.99,,2018-07-23 16:09:23,2018-07-23 16:09:32,8.934s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 16:09:24,2018-07-23 16:09:28,4.701s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-23 16:09:28,2018-07-23 16:09:30,1.447s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:30,2018-07-23 16:09:30,0.161s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:30,2018-07-23 16:09:30,0.148s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:30,2018-07-23 16:09:30,0.147s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:30,2018-07-23 16:09:30,0.211s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:30,2018-07-23 16:09:31,0.125s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:31,2018-07-23 16:09:31,0.133s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:31,2018-07-23 16:09:31,0.149s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:31,2018-07-23 16:09:31,0.127s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:31,2018-07-23 16:09:31,0.122s,PASSED
click,Chrome 67.0.3396.99,,2018-07-23 16:09:31,2018-07-23 16:09:31,0.089s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-23 16:09:31,2018-07-23 16:09:32,0.768s,PASSED
,,,,,,
Test Cases/controlled_monkey,Chrome 67.0.3396.99,,2018-07-23 16:09:32,2018-07-23 16:11:29,1m - 56.761s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 16:09:32,2018-07-23 16:09:36,4.106s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-23 16:09:36,2018-07-23 16:09:38,2.031s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 67.0.3396.99,,2018-07-23 16:09:38,2018-07-23 16:09:38,0.008s,PASSED
"Statement - elements = driver.findElements(org.openqa.selenium.By.xpath(""//*""))",Chrome 67.0.3396.99,,2018-07-23 16:09:38,2018-07-23 16:09:38,0.066s,PASSED
Statement - obj = new com.kms.katalon.core.testobject.TestObject(),Chrome 67.0.3396.99,,2018-07-23 16:09:38,2018-07-23 16:09:38,0.004s,PASSED
Statement - count = 0,Chrome 67.0.3396.99,,2018-07-23 16:09:38,2018-07-23 16:09:38,0.000s,PASSED
Statement - filteredElements = elements.stream().filter({ java.lang.Object e -> ... }).collect(),Chrome 67.0.3396.99,,2018-07-23 16:09:38,2018-07-23 16:09:40,1.631s,PASSED
Statement - 100.times({ -> ... }),Chrome 67.0.3396.99,,2018-07-23 16:09:40,2018-07-23 16:11:28,1m - 47.936s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-23 16:11:28,2018-07-23 16:11:29,0.740s,PASSED
,,,,,,
Test Cases/monkey_click,Chrome 67.0.3396.99,,2018-07-23 16:11:29,2018-07-23 16:11:44,15.030s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-23 16:11:29,2018-07-23 16:11:33,4.138s,PASSED
executeJavaScript,Chrome 67.0.3396.99,,2018-07-23 16:11:33,2018-07-23 16:11:33,0.020s,PASSED
delay,Chrome 67.0.3396.99,,2018-07-23 16:11:33,2018-07-23 16:11:43,10.002s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-23 16:11:43,2018-07-23 16:11:44,0.737s,PASSED
